SITEID,Lat,Lon
'081230006',40.41488,-104.70693
'081230008',40.20939,-104.82405
'090010010',41.17083,-73.19472
'090011123',41.39917,-73.44306
'090030025',41.77144,-72.67992
'090031003',41.78472,-72.63167
'090050005',41.82134,-73.29726
'090090027',41.3014,-72.90287
'090092123',41.55056,-73.04361
'090110124',41.35362,-72.07882
'100010002',38.98667,-75.5568
'100010003',39.155,-75.51806
'100031003',39.76111,-75.49194
'100031007',39.5513,-75.732
'100031008',39.57768,-75.6036
'100031012',39.69196,-75.7613
'100032004',39.73944,-75.55806
'100051002',38.6539,-75.6106
'110010042',38.87626,-77.03406
'110010043',38.92185,-77.01318
'110010051',38.89477,-76.95343
'120010023',29.70611,-82.38778
'120090007',28.05361,-80.62861
'120110034',26.05389,-80.25694
'120110035',26.13268,-80.16982
'120112003',26.29202,-80.09647
'120115005',26.29417,-80.17639
'120170005',28.98056,-82.64438
'120310032',30.35634,-81.6354
'120310098',30.1358,-81.63398
'120310099',30.35472,-81.54778
'120310108',30.26278,-81.60683
'120330004',30.52537,-87.20355
'120570113',27.95555,-82.46714
'120573002',27.96565,-82.2304
'120710005',26.60202,-81.87791
'120730012',30.43972,-84.34639
'120860033',25.94194,-80.32639
'120861016',25.79422,-80.21556
'120866001',25.47194,-80.48278
'120952002',28.59639,-81.3625
'120992005',26.45694,-80.09278
'121030018',27.78587,-82.73987
'121031009',27.98628,-82.78215
'121056006',28.02889,-81.97222
'121150013',27.29056,-82.50722
'121171002',28.74611,-81.31056
'121275002',29.20667,-81.0525
'130210007',32.77746,-83.6411
'130210012',32.80541,-83.54352
'130510091',32.11076,-81.16185
'130590002',33.91807,-83.34449
'130630091',33.60987,-84.39103
'130670003',34.01548,-84.60741
'130890002',33.68797,-84.29048
'130950007',31.57692,-84.10019
'131150003',34.26054,-85.32333
'131210039',33.80233,-84.43558
'131210056',33.77831,-84.39142
'131270006',31.16973,-81.49588
'131350002',33.96127,-84.06901
'131390003',34.30008,-83.81217
'131530001',32.6056,-83.59791
'131850003',30.84806,-83.29444
'132150001',32.48354,-84.98098
'132150008',32.5213,-84.94479
'132150011',32.42905,-84.9316
'132230003',33.9285,-85.04534
'132450091',33.43335,-82.02222
'132950002',34.97889,-85.30098
'133030001',32.97488,-82.80876
'133190001',32.88183,-83.33378
'150010007',19.4203,-155.2881
'150011006',19.71756,-155.11053
'150011012',19.50978,-155.91342
'150012016',19.2039,-155.48018
'150012020',19.11756,-155.77814
'150012023',19.55544,-155.10203
'150030010',21.32374,-158.08861
'150031001',21.30758,-157.85542
'150031004',21.30338,-157.87117
'150032004',21.39283,-157.96913
'150070007',21.9496,-159.36624
'150090006',20.781,-156.44637
'150090024',20.90203,-156.37034
